! Solar data file for CrIS hiRes 080808 SARTA fast model
!
! Data for 645-1500 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the IASI
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 1500-2760 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with IASI SRFs (Gaussian
! 2cm apodization) for each channel to approximate the effective
! solar irradiance.
!
!chan frequency  solar
!----  -------  -------
     1    649.620    15.502
     2    649.858    15.511
     3    650.097    15.521
     4    650.335    15.531
     5    650.574    15.541
     6    650.814    15.551
     7    651.053    15.561
     8    651.293    15.571
     9    651.532    15.580
    10    651.772    15.591
    11    652.012    15.601
    12    652.253    15.611
    13    652.493    15.621
    14    652.734    15.631
    15    652.975    15.641
    16    653.216    15.652
    17    653.457    15.661
    18    653.699    15.672
    19    653.940    15.682
    20    654.182    15.692
    21    654.424    15.703
    22    654.666    15.713
    23    654.909    15.723
    24    655.151    15.734
    25    655.394    15.744
    26    655.637    15.754
    27    655.880    15.765
    28    656.124    15.775
    29    656.367    15.786
    30    656.611    15.796
    31    656.855    15.807
    32    657.099    15.817
    33    657.343    15.828
    34    657.588    15.839
    35    657.833    15.850
    36    658.078    15.860
    37    658.323    15.871
    38    658.568    15.882
    39    658.813    15.893
    40    659.059    15.904
    41    659.305    15.914
    42    659.551    15.925
    43    659.797    15.936
    44    660.044    15.947
    45    660.291    15.958
    46    660.537    15.969
    47    660.784    15.980
    48    661.032    15.991
    49    661.279    16.002
    50    661.527    16.013
    51    661.775    16.024
    52    662.023    16.035
    53    662.271    16.047
    54    662.519    16.058
    55    662.768    16.069
    56    663.017    16.081
    57    663.266    16.092
    58    663.515    16.104
    59    663.765    16.115
    60    664.014    16.126
    61    664.264    16.138
    62    664.514    16.149
    63    664.764    16.161
    64    665.015    16.172
    65    665.265    16.184
    66    665.516    16.196
    67    665.767    16.207
    68    666.018    16.219
    69    666.270    16.230
    70    666.521    16.242
    71    666.773    16.254
    72    667.025    16.266
    73    667.277    16.277
    74    667.530    16.289
    75    667.782    16.302
    76    668.035    16.314
    77    668.288    16.326
    78    668.541    16.338
    79    668.795    16.349
    80    669.049    16.361
    81    669.302    16.373
    82    669.556    16.386
    83    669.811    16.398
    84    670.065    16.410
    85    670.320    16.423
    86    670.575    16.436
    87    670.830    16.448
    88    671.085    16.460
    89    671.340    16.472
    90    671.596    16.485
    91    671.852    16.497
    92    672.108    16.510
    93    672.364    16.522
    94    672.621    16.535
    95    672.878    16.547
    96    673.134    16.560
    97    673.392    16.573
    98    673.649    16.585
    99    673.906    16.598
   100    674.164    16.611
   101    674.422    16.624
   102    674.680    16.637
   103    674.939    16.649
   104    675.197    16.662
   105    675.456    16.675
   106    675.715    16.688
   107    675.974    16.701
   108    676.233    16.714
   109    676.493    16.728
   110    676.753    16.740
   111    677.013    16.754
   112    677.273    16.766
   113    677.533    16.780
   114    677.794    16.792
   115    678.055    16.806
   116    678.316    16.819
   117    678.577    16.833
   118    678.839    16.846
   119    679.100    16.859
   120    679.362    16.873
   121    679.625    16.886
   122    679.887    16.899
   123    680.149    16.913
   124    680.412    16.926
   125    680.675    16.940
   126    680.938    16.954
   127    681.202    16.967
   128    681.465    16.980
   129    681.729    16.994
   130    681.993    17.008
   131    682.251    17.021
   132    682.506    17.034
   133    682.761    17.048
   134    683.016    17.061
   135    683.270    17.074
   136    683.525    17.087
   137    683.780    17.101
   138    684.035    17.114
   139    684.290    17.127
   140    684.545    17.140
   141    684.800    17.154
   142    685.055    17.167
   143    685.310    17.180
   144    685.565    17.194
   145    685.820    17.208
   146    686.074    17.221
   147    686.329    17.234
   148    686.584    17.247
   149    686.839    17.261
   150    687.094    17.274
   151    687.349    17.288
   152    687.601    17.301
   153    687.871    17.315
   154    688.140    17.329
   155    688.410    17.344
   156    688.680    17.358
   157    688.950    17.372
   158    689.220    17.387
   159    689.491    17.402
   160    689.762    17.416
   161    690.033    17.431
   162    690.304    17.445
   163    690.575    17.459
   164    690.847    17.473
   165    691.119    17.488
   166    691.391    17.503
   167    691.664    17.518
   168    691.936    17.532
   169    692.209    17.547
   170    692.482    17.561
   171    692.755    17.575
   172    693.029    17.591
   173    693.302    17.605
   174    693.576    17.620
   175    693.850    17.635
   176    694.125    17.649
   177    694.399    17.664
   178    694.674    17.679
   179    694.949    17.693
   180    695.225    17.709
   181    695.500    17.723
   182    695.776    17.738
   183    696.052    17.753
   184    696.328    17.768
   185    696.604    17.783
   186    696.881    17.798
   187    697.158    17.813
   188    697.435    17.828
   189    697.712    17.843
   190    697.990    17.857
   191    698.267    17.873
   192    698.545    17.888
   193    698.823    17.903
   194    699.102    17.918
   195    699.381    17.933
   196    699.659    17.948
   197    699.939    17.964
   198    700.218    17.978
   199    700.497    17.994
   200    700.777    18.009
   201    701.057    18.024
   202    701.338    18.039
   203    701.618    18.055
   204    701.899    18.070
   205    702.180    18.085
   206    702.461    18.100
   207    702.742    18.116
   208    703.024    18.131
   209    703.306    18.146
   210    703.588    18.162
   211    703.870    18.177
   212    704.153    18.192
   213    704.436    18.207
   214    704.719    18.223
   215    705.002    18.238
   216    705.285    18.254
   217    705.569    18.269
   218    705.853    18.285
   219    706.137    18.300
   220    706.422    18.316
   221    706.706    18.331
   222    706.991    18.346
   223    707.276    18.361
   224    707.562    18.377
   225    707.847    18.392
   226    708.133    18.408
   227    708.419    18.423
   228    708.706    18.440
   229    708.992    18.455
   230    709.279    18.471
   231    709.566    18.486
   232    709.853    18.501
   233    710.141    18.517
   234    710.428    18.532
   235    710.716    18.548
   236    711.005    18.564
   237    711.293    18.579
   238    711.582    18.595
   239    711.871    18.611
   240    712.160    18.626
   241    712.449    18.642
   242    712.739    18.657
   243    713.029    18.673
   244    713.319    18.689
   245    713.609    18.704
   246    713.900    18.720
   247    714.191    18.736
   248    714.482    18.751
   249    714.773    18.766
   250    715.065    18.782
   251    715.356    18.798
   252    715.648    18.814
   253    715.941    18.830
   254    716.233    18.845
   255    716.526    18.860
   256    716.819    18.877
   257    717.112    18.892
   258    717.406    18.908
   259    717.700    18.923
   260    717.994    18.940
   261    718.288    18.955
   262    718.582    18.971
   263    718.877    18.987
   264    719.172    19.002
   265    719.467    19.018
   266    719.763    19.034
   267    720.058    19.049
   268    720.354    19.065
   269    720.651    19.081
   270    720.947    19.096
   271    721.244    19.113
   272    721.541    19.128
   273    721.838    19.144
   274    722.135    19.160
   275    722.433    19.176
   276    722.731    19.191
   277    723.029    19.208
   278    723.328    19.223
   279    723.626    19.239
   280    723.925    19.255
   281    724.224    19.271
   282    724.524    19.286
   283    724.823    19.302
   284    725.123    19.318
   285    725.424    19.334
   286    725.724    19.350
   287    726.025    19.365
   288    726.326    19.381
   289    726.627    19.398
   290    726.928    19.413
   291    727.230    19.429
   292    727.532    19.446
   293    727.834    19.461
   294    728.137    19.477
   295    728.439    19.493
   296    728.660    19.504
   297    728.963    19.521
   298    729.266    19.537
   299    729.569    19.553
   300    729.873    19.568
   301    730.177    19.584
   302    730.481    19.601
   303    730.785    19.617
   304    731.090    19.633
   305    731.395    19.649
   306    731.700    19.664
   307    732.005    19.681
   308    732.311    19.697
   309    732.617    19.713
   310    732.923    19.729
   311    733.229    19.745
   312    733.536    19.762
   313    733.843    19.778
   314    734.150    19.794
   315    734.458    19.810
   316    734.765    19.826
   317    735.073    19.842
   318    735.381    19.858
   319    735.690    19.875
   320    735.999    19.891
   321    736.308    19.907
   322    736.617    19.923
   323    736.926    19.940
   324    737.236    19.956
   325    737.546    19.972
   326    737.856    19.989
   327    738.167    20.005
   328    738.477    20.022
   329    738.788    20.038
   330    739.100    20.054
   331    739.411    20.070
   332    739.723    20.087
   333    740.035    20.103
   334    740.347    20.120
   335    740.660    20.136
   336    740.973    20.153
   337    741.286    20.169
   338    741.599    20.185
   339    741.913    20.202
   340    742.227    20.219
   341    742.541    20.235
   342    742.855    20.252
   343    743.170    20.269
   344    743.485    20.285
   345    743.800    20.302
   346    744.116    20.318
   347    744.431    20.335
   348    744.747    20.352
   349    745.064    20.368
   350    745.380    20.385
   351    745.697    20.401
   352    746.014    20.419
   353    746.331    20.435
   354    746.649    20.452
   355    746.967    20.469
   356    747.285    20.486
   357    747.603    20.502
   358    747.922    20.520
   359    748.241    20.537
   360    748.560    20.553
   361    748.879    20.570
   362    749.199    20.587
   363    749.519    20.604
   364    749.839    20.621
   365    750.160    20.638
   366    750.481    20.655
   367    750.802    20.672
   368    751.123    20.689
   369    751.445    20.706
   370    751.767    20.724
   371    752.089    20.741
   372    752.411    20.758
   373    752.734    20.775
   374    753.057    20.792
   375    753.380    20.809
   376    753.703    20.827
   377    754.027    20.844
   378    754.351    20.861
   379    754.676    20.879
   380    755.000    20.896
   381    755.325    20.913
   382    755.650    20.931
   383    755.976    20.949
   384    756.301    20.966
   385    756.627    20.983
   386    756.954    21.001
   387    757.280    21.019
   388    757.607    21.036
   389    757.934    21.054
   390    758.261    21.071
   391    758.589    21.089
   392    758.917    21.106
   393    759.245    21.124
   394    759.573    21.142
   395    759.902    21.160
   396    760.231    21.177
   397    760.561    21.195
   398    760.890    21.213
   399    761.220    21.230
   400    761.550    21.249
   401    761.881    21.267
   402    762.211    21.285
   403    762.542    21.302
   404    762.873    21.321
   405    763.205    21.339
   406    763.537    21.357
   407    763.869    21.375
   408    764.201    21.393
   409    764.534    21.411
   410    764.867    21.430
   411    765.200    21.447
   412    765.534    21.466
   413    765.867    21.485
   414    766.201    21.502
   415    766.536    21.521
   416    766.870    21.540
   417    767.205    21.558
   418    767.541    21.576
   419    767.876    21.595
   420    768.212    21.613
   421    768.548    21.632
   422    768.884    21.651
   423    769.221    21.669
   424    769.558    21.688
   425    769.895    21.706
   426    770.233    21.725
   427    770.570    21.744
   428    770.909    21.763
   429    771.247    21.782
   430    771.586    21.801
   431    771.925    21.820
   432    772.264    21.838
   433    772.603    21.857
   434    772.943    21.877
   435    773.283    21.895
   436    773.624    21.914
   437    773.964    21.934
   438    774.305    21.952
   439    774.647    21.972
   440    774.988    21.991
   441    775.330    22.010
   442    775.672    22.030
   443    776.015    22.049
   444    776.357    22.068
   445    776.700    22.087
   446    777.044    22.107
   447    777.387    22.127
   448    777.731    22.146
   449    778.076    22.165
   450    778.420    22.185
   451    778.765    22.205
   452    779.110    22.224
   453    779.455    22.244
   454    779.801    22.264
   455    780.147    22.283
   456    780.493    22.304
   457    780.840    22.323
   458    781.187    22.342
   459    781.534    22.363
   460    781.882    22.383
   461    782.221    22.402
   462    782.556    22.421
   463    782.892    22.441
   464    783.227    22.460
   465    783.563    22.480
   466    783.898    22.498
   467    784.234    22.518
   468    784.569    22.537
   469    784.905    22.557
   470    785.240    22.575
   471    785.576    22.595
   472    785.911    22.615
   473    786.247    22.634
   474    786.582    22.654
   475    786.918    22.673
   476    787.253    22.692
   477    787.589    22.712
   478    787.924    22.731
   479    788.260    22.751
   480    788.595    22.770
   481    788.931    22.790
   482    789.263    22.810
   483    789.616    22.830
   484    789.971    22.850
   485    790.325    22.872
   486    790.680    22.892
   487    791.035    22.913
   488    791.390    22.933
   489    791.745    22.955
   490    792.101    22.975
   491    792.457    22.996
   492    792.814    23.017
   493    793.171    23.038
   494    793.528    23.060
   495    793.885    23.080
   496    794.243    23.102
   497    794.601    23.122
   498    794.959    23.144
   499    795.318    23.164
   500    795.677    23.186
   501    796.036    23.207
   502    796.396    23.228
   503    796.756    23.249
   504    797.116    23.271
   505    797.477    23.293
   506    797.837    23.313
   507    798.199    23.335
   508    798.560    23.357
   509    798.922    23.378
   510    799.284    23.399
   511    799.646    23.421
   512    800.009    23.443
   513    800.372    23.464
   514    800.735    23.486
   515    801.099    23.508
   516    801.463    23.529
   517    801.827    23.551
   518    802.192    23.573
   519    802.557    23.594
   520    802.922    23.616
   521    803.288    23.638
   522    803.654    23.660
   523    804.020    23.682
   524    804.386    23.704
   525    804.753    23.726
   526    805.120    23.748
   527    805.488    23.770
   528    805.856    23.792
   529    806.224    23.814
   530    806.592    23.837
   531    806.961    23.859
   532    807.330    23.881
   533    807.699    23.903
   534    808.069    23.925
   535    808.439    23.947
   536    808.809    23.970
   537    809.180    23.992
   538    809.551    24.014
   539    809.922    24.037
   540    810.294    24.060
   541    810.666    24.082
   542    811.038    24.104
   543    811.411    24.127
   544    811.784    24.149
   545    812.157    24.172
   546    812.531    24.195
   547    812.905    24.217
   548    813.279    24.240
   549    813.654    24.263
   550    814.029    24.286
   551    814.404    24.308
   552    814.779    24.331
   553    815.155    24.354
   554    815.532    24.377
   555    815.908    24.399
   556    816.285    24.422
   557    816.662    24.446
   558    817.040    24.468
   559    817.418    24.492
   560    817.796    24.515
   561    818.175    24.537
   562    818.553    24.561
   563    818.933    24.584
   564    819.312    24.607
   565    819.692    24.631
   566    820.072    24.653
   567    820.453    24.677
   568    820.834    24.700
   569    821.215    24.724
   570    821.597    24.747
   571    821.978    24.771
   572    822.361    24.794
   573    822.743    24.817
   574    823.126    24.841
   575    823.509    24.864
   576    823.893    24.888
   577    824.277    24.911
   578    824.661    24.935
   579    825.046    24.958
   580    825.431    24.982
   581    825.816    25.005
   582    826.202    25.029
   583    826.587    25.053
   584    826.974    25.076
   585    827.360    25.100
   586    827.747    25.124
   587    828.135    25.148
   588    828.522    25.171
   589    828.910    25.196
   590    829.299    25.219
   591    829.687    25.243
   592    830.076    25.268
   593    830.466    25.292
   594    830.856    25.315
   595    831.246    25.340
   596    831.636    25.363
   597    832.027    25.388
   598    832.418    25.412
   599    832.809    25.436
   600    833.201    25.460
   601    833.593    25.484
   602    833.986    25.508
   603    834.379    25.533
   604    834.772    25.556
   605    835.166    25.581
   606    835.559    25.606
   607    835.954    25.630
   608    836.348    25.654
   609    836.743    25.679
   610    837.139    25.703
   611    837.534    25.727
   612    837.930    25.752
   613    838.327    25.777
   614    838.723    25.801
   615    839.120    25.826
   616    839.518    25.850
   617    839.916    25.875
   618    840.314    25.899
   619    840.712    25.924
   620    841.111    25.949
   621    841.510    25.974
   622    841.910    25.998
   623    842.310    26.023
   624    842.710    26.048
   625    843.111    26.073
   626    843.512    26.098
   627    843.913    26.122
   628    844.315    26.147
   629    844.717    26.172
   630    845.119    26.197
   631    845.522    26.222
   632    845.925    26.247
   633    846.329    26.273
   634    846.732    26.298
   635    847.137    26.323
   636    847.541    26.348
   637    847.946    26.374
   638    848.352    26.399
   639    848.757    26.423
   640    849.163    26.449
   641    849.570    26.474
   642    849.977    26.500
   643    850.384    26.525
   644    850.791    26.551
   645    851.199    26.576
   646    851.607    26.601
   647    852.016    26.627
   648    852.411    26.652
   649    852.718    26.671
   650    853.026    26.691
   651    853.334    26.709
   652    853.642    26.729
   653    853.950    26.748
   654    854.259    26.768
   655    854.568    26.786
   656    854.877    26.806
   657    855.186    26.825
   658    855.495    26.845
   659    855.805    26.864
   660    856.115    26.883
   661    856.426    26.903
   662    856.736    26.922
   663    857.047    26.942
   664    857.358    26.961
   665    857.669    26.981
   666    857.981    27.001
   667    858.293    27.020
   668    858.605    27.040
   669    858.917    27.060
   670    859.229    27.079
   671    859.542    27.099
   672    859.855    27.118
   673    860.168    27.138
   674    860.482    27.158
   675    860.795    27.178
   676    861.109    27.197
   677    861.424    27.217
   678    861.738    27.237
   679    862.053    27.256
   680    862.368    27.277
   681    862.683    27.297
   682    862.998    27.317
   683    863.314    27.336
   684    863.630    27.356
   685    863.946    27.377
   686    864.263    27.396
   687    864.579    27.416
   688    864.896    27.436
   689    865.214    27.457
   690    865.531    27.477
   691    865.849    27.496
   692    866.167    27.517
   693    866.485    27.537
   694    866.803    27.557
   695    867.122    27.577
   696    867.441    27.597
   697    867.760    27.618
   698    868.080    27.638
   699    868.399    27.659
   700    868.719    27.678
   701    869.040    27.699
   702    869.360    27.719
   703    869.681    27.740
   704    870.002    27.760
   705    870.323    27.781
   706    870.645    27.801
   707    870.966    27.822
   708    871.288    27.842
   709    871.611    27.863
   710    871.933    27.883
   711    872.256    27.903
   712    872.579    27.924
   713    872.902    27.945
   714    873.226    27.965
   715    873.550    27.986
   716    873.874    28.007
   717    874.198    28.028
   718    874.523    28.048
   719    874.847    28.069
   720    875.173    28.090
   721    875.498    28.111
   722    875.823    28.132
   723    876.149    28.153
   724    876.475    28.173
   725    876.802    28.194
   726    877.128    28.215
   727    877.455    28.236
   728    877.783    28.257
   729    878.110    28.279
   730    878.438    28.300
   731    878.766    28.321
   732    879.094    28.342
   733    879.422    28.363
   734    879.751    28.384
   735    880.080    28.405
   736    880.409    28.426
   737    880.739    28.447
   738    881.069    28.469
   739    881.399    28.491
   740    881.729    28.512
   741    882.060    28.533
   742    882.390    28.555
   743    882.721    28.576
   744    883.053    28.597
   745    883.384    28.619
   746    883.716    28.640
