! Solar data file for Strow/Hannon Sep08 IASI fast model
!
! Data for 645-1500 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the IASI
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 1500-2760 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with IASI SRFs (Gaussian
! 2cm apodization) for each channel to approximate the effective
! solar irradiance.
!
!chan frequency  solar
!----  -------  -------
    1   645.00   15.314
    2   645.25   15.324
    3   645.50   15.334
    4   645.75   15.344
    5   646.00   15.354
    6   646.25   15.364
    7   646.50   15.374
    8   646.75   15.384
    9   647.00   15.395
   10   647.25   15.405
   11   647.50   15.415
   12   647.75   15.425
   13   648.00   15.435
   14   648.25   15.445
   15   648.50   15.456
   16   648.75   15.466
   17   649.00   15.476
   18   649.25   15.486
   19   649.50   15.497
   20   649.75   15.507
   21   650.00   15.517
   22   650.25   15.527
   23   650.50   15.538
   24   650.75   15.548
   25   651.00   15.559
   26   651.25   15.569
   27   651.50   15.579
   28   651.75   15.590
   29   652.00   15.600
   30   652.25   15.611
   31   652.50   15.621
   32   652.75   15.632
   33   653.00   15.642
   34   653.25   15.653
   35   653.50   15.663
   36   653.75   15.674
   37   654.00   15.685
   38   654.25   15.695
   39   654.50   15.706
   40   654.75   15.716
   41   655.00   15.727
   42   655.25   15.738
   43   655.50   15.749
   44   655.75   15.759
   45   656.00   15.770
   46   656.25   15.781
   47   656.50   15.792
   48   656.75   15.802
   49   657.00   15.813
   50   657.25   15.824
   51   657.50   15.835
   52   657.75   15.846
   53   658.00   15.857
   54   658.25   15.868
   55   658.50   15.879
   56   658.75   15.890
   57   659.00   15.901
   58   659.25   15.912
   59   659.50   15.923
   60   659.75   15.934
   61   660.00   15.945
   62   660.25   15.956
   63   660.50   15.967
   64   660.75   15.978
   65   661.00   15.990
   66   661.25   16.001
   67   661.50   16.012
   68   661.75   16.023
   69   662.00   16.034
   70   662.25   16.046
   71   662.50   16.057
   72   662.75   16.068
   73   663.00   16.080
   74   663.25   16.091
   75   663.50   16.103
   76   663.75   16.114
   77   664.00   16.125
   78   664.25   16.137
   79   664.50   16.148
   80   664.75   16.160
   81   665.00   16.171
   82   665.25   16.183
   83   665.50   16.195
   84   665.75   16.206
   85   666.00   16.218
   86   666.25   16.229
   87   666.50   16.241
   88   666.75   16.253
   89   667.00   16.265
   90   667.25   16.276
   91   667.50   16.288
   92   667.75   16.300
   93   668.00   16.312
   94   668.25   16.324
   95   668.50   16.336
   96   668.75   16.347
   97   669.00   16.359
   98   669.25   16.371
   99   669.50   16.383
  100   669.75   16.395
  101   670.00   16.407
  102   670.25   16.419
  103   670.50   16.432
  104   670.75   16.444
  105   671.00   16.456
  106   671.25   16.468
  107   671.50   16.480
  108   671.75   16.492
  109   672.00   16.504
  110   672.25   16.517
  111   672.50   16.529
  112   672.75   16.541
  113   673.00   16.553
  114   673.25   16.566
  115   673.50   16.578
  116   673.75   16.590
  117   674.00   16.603
  118   674.25   16.615
  119   674.50   16.628
  120   674.75   16.640
  121   675.00   16.652
  122   675.25   16.665
  123   675.50   16.677
  124   675.75   16.690
  125   676.00   16.702
  126   676.25   16.715
  127   676.50   16.728
  128   676.75   16.740
  129   677.00   16.753
  130   677.25   16.765
  131   677.50   16.778
  132   677.75   16.790
  133   678.00   16.803
  134   678.25   16.816
  135   678.50   16.829
  136   678.75   16.841
  137   679.00   16.854
  138   679.25   16.867
  139   679.50   16.880
  140   679.75   16.892
  141   680.00   16.905
  142   680.25   16.918
  143   680.50   16.931
  144   680.75   16.944
  145   681.00   16.957
  146   681.25   16.969
  147   681.50   16.982
  148   681.75   16.995
  149   682.00   17.008
  150   682.25   17.021
  151   682.50   17.034
  152   682.75   17.047
  153   683.00   17.060
  154   683.25   17.073
  155   683.50   17.086
  156   683.75   17.099
  157   684.00   17.112
  158   684.25   17.125
  159   684.50   17.138
  160   684.75   17.151
  161   685.00   17.164
  162   685.25   17.177
  163   685.50   17.191
